"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
4006732723,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/144362883","Animalia","Chordata","Aves","Phoenicopteriformes","Phoenicopteridae","Phoenicopterus","Phoenicopterus roseus",NA,"SPECIES","Phoenicopterus roseus Pallas, 1811","Phoenicopterus roseus","","IT","","Emilia-Romagna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.50435,12.25057,184,NA,NA,NA,NA,NA,"2022-12-06T11:40:38",6,12,2022,4352332,4352332,"HUMAN_OBSERVATION","iNaturalist","Observations","144362883",NA,"Fabrizio Borghesi","2022-12-14T15:52:43","CC_BY_NC_4_0","Fabrizio Borghesi","Fabrizio Borghesi",NA,NA,"2023-06-21 11:11:15","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.25057 44.50435)"
4006620090,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/144610839","Animalia","Chordata","Aves","Phoenicopteriformes","Phoenicopteridae","Phoenicopterus","Phoenicopterus roseus",NA,"SPECIES","Phoenicopterus roseus Pallas, 1811","Phoenicopterus roseus","","IT","","Emilia-Romagna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.52648,12.25096,201,NA,NA,NA,NA,NA,"2022-12-18T11:41:00",18,12,2022,4352332,4352332,"HUMAN_OBSERVATION","iNaturalist","Observations","144610839",NA,"Valentina","2022-12-18T16:42:48","CC_BY_NC_4_0","Valentina","Valentina",NA,NA,"2023-06-21 11:23:32","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.25096 44.52648)"
3996506744,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/244719811","Animalia","Chordata","Aves","Phoenicopteriformes","Phoenicopteridae","Phoenicopterus","Phoenicopterus roseus",NA,"SPECIES","Phoenicopterus roseus Pallas, 1811","Phoenicopterus roseus","","IT","Italy - Ravenna (comuni)","","PRESENT",1,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",44.5074,12.26293,10,NA,NA,NA,NA,NA,"2022-06-08T00:00:00",8,6,2022,4352332,4352332,"HUMAN_OBSERVATION","","Observations","OBS.244719811",NA,"","","CC_BY_NC_4_0","Stichting Observation International","User 48660",NA,NA,"2023-06-13 15:57:55","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (12.26293 44.5074)"
3905562765,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/235391002","Animalia","Chordata","Aves","Phoenicopteriformes","Phoenicopteridae","Phoenicopterus","Phoenicopterus roseus",NA,"SPECIES","Phoenicopterus roseus Pallas, 1811","Phoenicopterus roseus","","IT","Italy - Ravenna (comuni)","","PRESENT",320,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",44.52478,12.26665,1,NA,NA,NA,NA,NA,"2022-03-14T00:00:00",14,3,2022,4352332,4352332,"HUMAN_OBSERVATION","","Observations","OBS.235391002",NA,"","","CC_BY_NC_4_0","Stichting Observation International","User 140107",NA,NA,"2023-06-13 16:00:29","StillImage","CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (12.26665 44.52478)"
3904874522,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/250498142","Animalia","Chordata","Aves","Phoenicopteriformes","Phoenicopteridae","Phoenicopterus","Phoenicopterus roseus",NA,"SPECIES","Phoenicopterus roseus Pallas, 1811","Phoenicopterus roseus","","IT","Italy - Ravenna (comuni)","","PRESENT",21,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",44.49928,12.26411,4,NA,NA,NA,NA,NA,"2022-07-26T00:00:00",26,7,2022,4352332,4352332,"HUMAN_OBSERVATION","","Observations","OBS.250498142",NA,"","","CC_BY_NC_4_0","Stichting Observation International","User 124702",NA,NA,"2023-06-13 16:01:27","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (12.26411 44.49928)"
3902742411,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/132120963","Animalia","Chordata","Aves","Phoenicopteriformes","Phoenicopteridae","Phoenicopterus","Phoenicopterus roseus",NA,"SPECIES","Phoenicopterus roseus Pallas, 1811","Phoenicopterus roseus","","IT","","Emilia-Romagna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.47681,12.2474,61,NA,NA,NA,NA,NA,"2022-08-23T19:16:00",23,8,2022,4352332,4352332,"HUMAN_OBSERVATION","iNaturalist","Observations","132120963",NA,"iuggg","2022-08-24T10:34:19","CC_BY_NC_4_0","iuggg","iuggg",NA,NA,"2023-06-21 11:22:48","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.2474 44.47681)"
3902539933,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/131346006","Animalia","Chordata","Aves","Phoenicopteriformes","Phoenicopteridae","Phoenicopterus","Phoenicopterus roseus",NA,"SPECIES","Phoenicopterus roseus Pallas, 1811","Phoenicopterus roseus","","IT","","Emilia-Romagna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.52706,12.25612,4,NA,NA,NA,NA,NA,"2022-08-18T18:18:51",18,8,2022,4352332,4352332,"HUMAN_OBSERVATION","iNaturalist","Observations","131346006",NA,"Valentina","2022-08-19T05:36:46","CC_BY_NC_4_0","Luca Facchino","Luca Facchino",NA,NA,"2023-06-21 11:22:43","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.25612 44.52706)"
3892497861,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/130556030","Animalia","Chordata","Aves","Phoenicopteriformes","Phoenicopteridae","Phoenicopterus","Phoenicopterus roseus",NA,"SPECIES","Phoenicopterus roseus Pallas, 1811","Phoenicopterus roseus","","IT","","Emilia-Romagna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.47672,12.24629,NA,NA,NA,NA,NA,NA,"2022-08-12T15:32:43",12,8,2022,4352332,4352332,"HUMAN_OBSERVATION","iNaturalist","Observations","130556030",NA,"mircogruppi","2022-08-12T22:14:36","CC_BY_NC_4_0","mircogruppi","mircogruppi",NA,NA,"2023-06-21 11:10:55","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.24629 44.47672)"
3822461489,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/177178745","Animalia","Chordata","Aves","Phoenicopteriformes","Phoenicopteridae","Phoenicopterus","Phoenicopterus roseus",NA,"SPECIES","Phoenicopterus roseus Pallas, 1811","Phoenicopterus roseus","","IT","Italy - Ravenna (comuni)","","PRESENT",50,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",44.52806,12.24942,12,NA,NA,NA,NA,NA,"2019-07-30T00:00:00",30,7,2019,4352332,4352332,"HUMAN_OBSERVATION","","Observations","OBS.177178745",NA,"","","CC_BY_NC_4_0","Stichting Observation International","User 97504",NA,NA,"2023-06-13 15:57:09","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (12.24942 44.52806)"
3693373131,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1287084286","Animalia","Chordata","Aves","Phoenicopteriformes","Phoenicopteridae","Phoenicopterus","Phoenicopterus roseus",NA,"SPECIES","Phoenicopterus roseus Pallas, 1811","Phoenicopterus roseus","","IT","Pialassa della Baiona","Emilia-Romagna","PRESENT",150,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.50725,12.24538,NA,NA,NA,NA,NA,NA,"2021-12-01T00:00:00",1,12,2021,4352332,4352332,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1287084286",NA,"","","CC_BY_4_0","","obsr2539555",NA,NA,"2023-06-07 15:29:52","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.24538 44.50725)"
